,StoreId,CompleteStoreName,FoodType,AverageRating,Reviewers,City,Location,District,Latitude,Longitude
144,y2a0,Nam Kee Chicken Rice (200 Upper Thomson Road),Chicken,4.4,100,Singapore,200 Upper Thomson Road Singapore,11.0,1.35190425,103.83607020275849
145,kyjn,Dongbei Chuan Cai 东北川菜 (Balestier Road),Asian,4.0,79,Singapore,Balestier Road Singapore,12.0,1.3181005488832067,103.85551719932096
146,laff,The Plant Food (Thomson V Two),Vegetarian,4.4,100,Singapore,Thomson V Two Singapore,11.0,1.3534286,103.83557399679276
147,zu0e,Two Broke Guys (Bishan Street 12),Cakes,4.6,29,Singapore,Bishan Street 12 Singapore,20.0,1.3453051568430943,103.85244450095817
148,zyrf,San Ren Xing (Thomson Plaza) - Islandwide Delivery,Chinese,3.3,21,Singapore,Thomson Plaza Singapore,11.0,1.35454475,103.83082063425525
149,v26v,Nana Curry (Thomson Plaza),Chinese,3.4,90,Singapore,Thomson Plaza Singapore,11.0,1.35454475,103.83082063425525
150,qhqr,Indian Curry And Tandoor North Indian Mughlai (Toa Payoh North) - Restaurant Delivery,Indian,3.4,47,Singapore,Toa Payoh North Singapore,12.0,1.3416548000000001,103.8464593736629
151,s503,Teochew Seafood White Meehoon (Toa Payoh Lorong 8),Seafood,4.4,84,Singapore,Toa Payoh Lorong 8 Singapore,12.0,1.33482375,103.85936782100526
152,f3zg,Yen Izakaya 円居酒屋 (Thomson V Two),Japanese,4.5,100,Singapore,Thomson V Two Singapore,11.0,1.3534286,103.83557399679276
153,cc1i,Mirch House North Indian Cuisine (Toa Payoh North) - Restaurant Delivery,Indian,4.4,40,Singapore,Toa Payoh North Singapore,12.0,1.3416548000000001,103.8464593736629
154,yvf7,Paradise Biryani House -Indian Restaurant (978 Toa Payoh North) - Restaurant Delivery,Indian,2.5,9,Singapore,978 Toa Payoh North Singapore,12.0,1.3416548000000001,103.8464593736629
155,lb8g,Banh Mi Bae (Balestier),Korean,3.5,13,Singapore,Balestier Singapore,12.0,1.326226,103.8473149
156,v1tg,The Roti Prata House (Upper Thomson Road),Indian,4.4,3000,Singapore,Upper Thomson Road Singapore,11.0,1.3980525521561984,103.81795642248994
157,x5as,Jing House Yong Tau Foo (Koufu Thomson Plaza),Ban Mian,4.6,100,Singapore,Koufu Thomson Plaza Singapore,11.0,,
158,faxs,Aher Soup 阿2煲靓汤 (Koufu Thomson Plaza),Soups,4.6,100,Singapore,Koufu Thomson Plaza Singapore,11.0,,
159,g508,Homewok (Thomson Plaza),Chinese,4.2,100,Singapore,Thomson Plaza Singapore,11.0,1.35454475,103.83082063425525
160,vjxq,Chop Steak Western Cuisine (Sin Ming),Western,4.6,100,Singapore,Sin Ming Singapore,,1.3590773,103.8351214
161,krxz,ASTONS Specialities (Thomson Plaza),Grill,4.4,100,Singapore,Thomson Plaza Singapore,11.0,1.35454475,103.83082063425525
162,ppck,Swathi -North Indian Cuisine (978 Toa Payoh North) - Restaurant Delivery,Indian,3.9,8,Singapore,978 Toa Payoh North Singapore,12.0,1.3416548000000001,103.8464593736629
163,wpfw,Hyderabad Bawarchi North Indian Cuisine (978 Toa Payoh North) - Restaurant Delivery,Indian,3.2,19,Singapore,978 Toa Payoh North Singapore,12.0,1.3416548000000001,103.8464593736629
164,mk0d,CJ Fried Chicken (Balestier),Chicken,4.7,66,Singapore,Balestier Singapore,12.0,1.326226,103.8473149
165,oi2m,Wonton Mama (Thomson) - Islandwide Delivery,Thai,4.9,8,Singapore,Thomson Singapore,11.0,1.3777158,103.8295243
166,quxk,Al-Rabeca Restaurant (Kim Keat Road),Indian,3.6,95,Singapore,Kim Keat Road Singapore,,1.3270688637017254,103.8552399760322
167,tk3p,HENG LONG TEOCHEW PORRIDGE (UPPER THOMSON RD),Chinese,4.7,96,Singapore,UPPER THOMSON RD Singapore,11.0,1.3980525521561984,103.81795642248994
168,cei3,Parivar -Vegetarian and Non Vegetarian Indian (978 Toa Payoh North) - Restaurant Delivery,Indian,3.4,30,Singapore,978 Toa Payoh North Singapore,12.0,1.3416548000000001,103.8464593736629
169,v2su,Tomyum Mama (Upper Thomson Road),Thai,4.6,2000,Singapore,Upper Thomson Road Singapore,11.0,1.3980525521561984,103.81795642248994
170,x7mk,Soon Hock Hokkien Mee (Sin Ming 23 Coffeeshop),Noodles,4.6,1000,Singapore,Sin Ming 23 Coffeeshop Singapore,,,
171,w8rl,Siam Kitchen (SAFRA Toa Payoh),Thai,4.1,100,Singapore,SAFRA Toa Payoh Singapore,12.0,1.33021315,103.85468164279789
172,zeus,Newton Tian Xiang Big Prawn Noodle (Newton Food Centre),Singaporean,4.1,100,Singapore,Newton Food Centre Singapore,11.0,1.3121232,103.83972339469418
173,oxmi,Hyderabad Authentic North Indian Restaurant (Toa Payoh) - Restaurant Delivery,Indian,3.3,78,Singapore,Toa Payoh Singapore,12.0,1.3353906,103.8497414
174,tlbn,Wine Mansion (Thomson Plaza),Pizza,2.8,4,Singapore,Thomson Plaza Singapore,11.0,1.35454475,103.83082063425525
175,ycvw,AKBAR DARBAR INDIAN RESTAURANT (978 Toa Payoh North) - Restaurant Delivery,Indian,4.0,17,Singapore,978 Toa Payoh North Singapore,12.0,1.3416548000000001,103.8464593736629
176,dksf,Newton Mee Goreng Streetall Goreng Combo Specialist (Newton Food Centre),Indian,3.3,26,Singapore,Newton Food Centre Singapore,11.0,1.3121232,103.83972339469418
177,v3tx,Wang Cafe (Thomson Plaza),Kaya Toast,4.3,500,Singapore,Thomson Plaza Singapore,11.0,1.35454475,103.83082063425525
178,slrg,Pung Pung Kitchen (Sin Ming Road) - Islandwide Delivery,Chinese,2.9,4,Singapore,Sin Ming Road Singapore,,1.3595560500000001,103.83972955
